Timestamp [ms];	CPU cores;	CPU capacity provisioned [MHZ];	CPU usage [MHZ];	CPU usage [%];	Memory capacity provisioned [KB];	Memory usage [KB];	Disk read throughput [KB/s];	Disk write throughput [KB/s];	Network received throughput [KB/s];	Network transmitted throughput [KB/s]
1376325047;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	153790.13333333333;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376325347;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	188741.33333333334;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376325647;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	173363.46666666667;	0.0;	7.866666666666666;	0.0;	0.13333333333333333
1376325947;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	146799.2;	0.0;	8.533333333333333;	0.0;	0.06666666666666667
1376326247;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	183150.13333333333;	0.0;	7.133333333333334;	0.0;	0.13333333333333333
1376326547;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	303384.5333333333;	0.0;	9.0;	0.0;	0.6666666666666666
1376326847;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	219499.2;	0.0;	7.2;	0.0;	0.2
1376327147;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	149596.26666666666;	0.0;	7.666666666666667;	0.0;	0.4
1376327447;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	163576.0;	0.0;	7.066666666666666;	0.0;	0.13333333333333333
1376327747;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	201324.26666666666;	0.0;	7.4;	0.0;	0.13333333333333333
1376328047;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	160780.53333333333;	0.0;	7.4;	0.0;	0.13333333333333333
1376328347;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	201324.8;	0.0;	6.933333333333334;	0.0;	0.13333333333333333
1376328647;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	142605.6;	0.0;	7.066666666666666;	0.0;	0.2
1376328947;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	170566.66666666666;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376329247;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	197129.33333333334;	0.0;	7.866666666666666;	0.0;	0.2
1376329547;	1;	2599.999304;	53.733318949333324;	2.0666666666666664;	2097152.0;	455778.93333333335;	139.53333333333333;	20.533333333333335;	0.0;	0.26666666666666666
1376329847;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	329950.4;	0.0;	7.733333333333333;	0.0;	0.13333333333333333
1376330147;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	278220.5333333333;	34.4;	11.933333333333334;	0.0;	0.7333333333333333
1376330447;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	222295.2;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376330747;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	157984.8;	0.0;	7.4;	0.0;	0.3333333333333333
1376331047;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	187343.2;	0.0;	7.4;	0.0;	0.06666666666666667
1376331347;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	204119.73333333334;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376331647;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	184546.66666666666;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376331947;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	177557.33333333334;	0.0;	7.4;	0.0;	0.06666666666666667
1376332247;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	148197.33333333334;	0.0;	7.6;	0.0;	0.06666666666666667
1376332547;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	180353.6;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376332847;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	173362.4;	0.0;	8.2;	0.0;	0.13333333333333333
1376333147;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	208314.13333333333;	0.0;	7.2;	0.0;	0.06666666666666667
1376333447;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	142605.6;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376333747;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	201325.33333333334;	0.0;	8.933333333333334;	0.0;	0.6
1376334047;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	195732.53333333333;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376334347;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	166373.06666666668;	0.0;	7.733333333333333;	0.0;	0.3333333333333333
1376334647;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	160780.53333333333;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376334947;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.4;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376335247;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	159382.13333333333;	0.0;	7.4;	0.0;	0.06666666666666667
1376335547;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	149594.93333333332;	0.0;	7.4;	0.0;	0.06666666666666667
1376335847;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	156585.33333333334;	0.0;	7.733333333333333;	0.0;	0.06666666666666667
1376336147;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	139809.33333333334;	0.0;	7.4;	0.0;	0.06666666666666667
1376336447;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	219499.2;	0.0;	8.333333333333334;	0.0;	0.13333333333333333
1376336747;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	237674.66666666666;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376337047;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	201324.0;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376337347;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	223693.86666666667;	0.0;	8.8;	0.0;	0.6
1376337647;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	199927.2;	0.0;	7.866666666666666;	0.0;	0.06666666666666667
1376337947;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	206917.06666666668;	0.0;	7.4;	0.0;	0.3333333333333333
1376338248;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	162177.86666666667;	0.0;	7.666666666666667;	0.0;	0.13333333333333333
1376338548;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	170567.2;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376338848;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	176159.2;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376339148;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	148197.33333333334;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376339448;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	178955.46666666667;	0.0;	7.466666666666667;	0.0;	0.2
1376339748;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	162177.86666666667;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376340048;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	194334.4;	0.0;	8.133333333333333;	0.0;	0.13333333333333333
1376340348;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	185946.13333333333;	12.466666666666667;	14.533333333333333;	0.0;	0.13333333333333333
1376340648;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	201324.53333333333;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376340948;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	232082.66666666666;	0.0;	9.133333333333333;	0.0;	0.6666666666666666
1376341248;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	222295.73333333334;	0.0;	7.333333333333333;	0.0;	0.2
1376341548;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.93333333332;	0.0;	7.466666666666667;	0.0;	0.4
1376341848;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	205518.4;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376342148;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	185945.06666666668;	0.0;	7.2;	0.0;	0.13333333333333333
1376342448;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	181750.93333333332;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376342748;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	181751.73333333334;	0.0;	7.0;	0.0;	0.06666666666666667
1376343048;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	153789.06666666668;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376343348;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	166372.8;	0.0;	7.0;	0.0;	0.06666666666666667
1376343648;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	181751.46666666667;	0.0;	7.933333333333334;	0.0;	0.13333333333333333
1376343948;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	191537.6;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376344248;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.4;	0.0;	7.0;	0.0;	0.06666666666666667
1376344548;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	202721.33333333334;	0.0;	5.333333333333333;	0.0;	0.6
1376344848;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	190140.0;	0.0;	7.2;	0.0;	0.06666666666666667
1376345148;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	185945.86666666667;	0.26666666666666666;	7.266666666666667;	0.0;	0.3333333333333333
1376345448;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	237675.46666666667;	0.0;	6.866666666666666;	0.0;	0.06666666666666667
1376345748;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	160780.53333333333;	0.0;	7.066666666666666;	0.0;	0.06666666666666667
1376346048;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	132818.66666666666;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376346348;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	145401.86666666667;	0.0;	8.4;	0.0;	0.06666666666666667
1376346648;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	188742.13333333333;	2.2666666666666666;	7.666666666666667;	0.0;	0.06666666666666667
1376346948;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	204121.06666666668;	0.0;	7.6;	0.0;	0.06666666666666667
1376347248;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	192935.2;	0.0;	8.066666666666666;	0.0;	0.13333333333333333
1376347548;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	149596.26666666666;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376347848;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	167770.66666666666;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376348148;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	183149.86666666667;	0.0;	9.266666666666667;	0.0;	0.6
1376348448;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	162178.13333333333;	0.0;	7.2;	0.0;	0.13333333333333333
1376348749;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	148196.8;	0.0;	4.533333333333333;	0.0;	0.3333333333333333
1376349049;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	206917.33333333334;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376349349;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	213907.2;	0.0;	7.2;	0.0;	0.06666666666666667
1376349649;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	192935.2;	0.0;	7.4;	0.0;	0.06666666666666667
1376349949;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	177557.6;	0.0;	7.2;	0.0;	0.06666666666666667
1376350249;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	150994.4;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376350549;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	216703.73333333334;	0.0;	7.0;	0.0;	0.06666666666666667
1376350849;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	160780.26666666666;	0.0;	8.2;	0.0;	0.2
1376351149;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	226489.06666666668;	138.86666666666667;	25.333333333333332;	0.0;	0.4666666666666667
1376351449;	1;	2599.999304;	62.399983296;	2.4;	2097152.0;	742390.4;	0.8;	10.2;	0.0;	0.2
1376351749;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	398456.0;	2.3333333333333335;	10.6;	0.0;	0.6666666666666666
1376352049;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	317366.93333333335;	2.066666666666667;	8.333333333333334;	0.0;	0.2
1376352349;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	218100.8;	0.0;	7.4;	0.0;	0.4666666666666667
1376352649;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	156586.13333333333;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376352949;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	138411.2;	0.0;	18.066666666666666;	0.0;	0.13333333333333333
1376353249;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	169168.8;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376353549;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	148198.13333333333;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376353849;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	135614.93333333332;	0.13333333333333333;	8.066666666666666;	0.0;	0.13333333333333333
1376354149;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	180352.8;	0.0;	7.266666666666667;	0.0;	0.2
1376354449;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	166372.26666666666;	0.5333333333333333;	8.066666666666666;	0.0;	0.2
1376354749;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	162178.4;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376355049;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	205518.4;	0.0;	7.266666666666667;	0.0;	0.13333333333333333
1376355349;	1;	2599.999304;	25.99999304;	1.0;	2097152.0;	180352.8;	0.0;	9.0;	0.0;	0.6666666666666666
1376355649;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	216703.73333333334;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376355949;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	162178.93333333332;	0.0;	7.466666666666667;	0.0;	0.3333333333333333
1376356249;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	171965.6;	0.0;	7.2;	0.0;	0.06666666666666667
1376356549;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	181750.66666666666;	0.0;	7.133333333333334;	0.0;	0.13333333333333333
1376356849;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	167770.4;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376357149;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	162178.13333333333;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376357449;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	201324.26666666666;	0.0;	7.2;	0.0;	0.06666666666666667
1376357749;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	176158.4;	0.0;	7.0;	0.0;	0.06666666666666667
1376358049;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	183149.06666666668;	0.0;	7.933333333333334;	0.0;	0.06666666666666667
1376358349;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	188741.86666666667;	0.0;	7.2;	0.0;	0.06666666666666667
1376358649;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	156586.66666666666;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376358949;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	241869.06666666668;	0.0;	9.333333333333334;	0.0;	0.7333333333333333
1376359250;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	181751.73333333334;	0.0;	7.6;	0.0;	0.06666666666666667
1376359550;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	198528.53333333333;	0.0;	7.133333333333334;	0.0;	0.3333333333333333
1376359850;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	212508.26666666666;	0.0;	7.4;	0.0;	0.06666666666666667
1376360150;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	197129.6;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376360450;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	219498.93333333332;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376360750;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	167770.4;	0.0;	7.2;	0.0;	0.06666666666666667
1376361050;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	142605.33333333334;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376361350;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	148197.33333333334;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376361650;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	190140.0;	0.0;	7.8;	0.0;	0.13333333333333333
1376361950;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	181750.93333333332;	0.0;	7.466666666666667;	0.0;	0.06666666666666667
1376362250;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	215306.4;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376362550;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	304784.26666666666;	0.0;	8.866666666666667;	0.0;	0.6
1376362849;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	209712.0;	0.0;	7.4;	0.0;	0.06666666666666667
1376363149;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	176160.0;	0.0;	7.933333333333334;	0.0;	0.3333333333333333
1376363449;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	152392.53333333333;	0.0;	7.4;	0.0;	0.06666666666666667
1376363749;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	173362.93333333332;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376364049;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	166372.8;	0.0;	7.533333333333333;	0.0;	0.06666666666666667
1376364349;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	145401.33333333334;	0.0;	7.533333333333333;	0.0;	0.13333333333333333
1376364650;	1;	2599.999304;	13.866662954666667;	0.5333333333333333;	2097152.0;	191537.6;	0.0;	7.2;	0.0;	0.13333333333333333
1376364950;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	194334.4;	0.0;	7.533333333333333;	0.0;	0.2
1376365250;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	188742.4;	0.0;	8.133333333333333;	0.0;	0.2
1376365550;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	170567.46666666667;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376365850;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	180352.53333333333;	0.0;	7.4;	0.0;	0.13333333333333333
1376366150;	1;	2599.999304;	24.266660170666665;	0.9333333333333332;	2097152.0;	222296.0;	0.0;	9.066666666666666;	0.0;	0.6666666666666666
1376366450;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	208314.4;	0.0;	7.4;	0.0;	0.13333333333333333
1376366750;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	201325.6;	0.0;	7.733333333333333;	0.0;	0.4666666666666667
1376367050;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	169168.26666666666;	0.0;	7.466666666666667;	0.0;	0.13333333333333333
1376367350;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	180353.6;	0.0;	7.6;	0.0;	0.13333333333333333
1376367650;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	188742.4;	0.0;	7.2;	0.0;	0.13333333333333333
1376367950;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	178955.2;	0.0;	7.333333333333333;	0.0;	0.13333333333333333
1376368250;	1;	2599.999304;	19.066661562666667;	0.7333333333333333;	2097152.0;	204120.26666666666;	0.0;	7.333333333333333;	0.0;	0.06666666666666667
1376368550;	1;	2599.999304;	22.533327301333333;	0.8666666666666667;	2097152.0;	170566.93333333332;	0.0;	7.266666666666667;	0.0;	0.06666666666666667
1376368850;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	139809.33333333334;	0.0;	7.733333333333333;	0.0;	0.13333333333333333
1376369150;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	173362.4;	0.0;	7.666666666666667;	0.0;	0.06666666666666667
1376369450;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	199926.66666666666;	0.0;	7.0;	0.0;	0.06666666666666667
1376369750;	1;	2599.999304;	20.799994432;	0.8;	2097152.0;	269830.93333333335;	0.0;	8.866666666666667;	0.0;	0.6
1376370050;	1;	2599.999304;	15.599995824;	0.6;	2097152.0;	208314.93333333332;	0.0;	7.133333333333334;	0.0;	0.06666666666666667
1376370350;	1;	2599.999304;	17.333328693333335;	0.6666666666666667;	2097152.0;	199926.4;	0.0;	7.066666666666666;	0.0;	0.3333333333333333
